,0
0,from
1,newtwitter
2,life
3,u
4,new
5,down
6,go
7,how
8,who
9,an
10,as
11,really
12,lol
13,will
14,or
15,don
16,2
17,why
18,think
19,know
20,3
21,by
22,want
23,d
24,am
25,twitter
26,back
27,need
28,dontyoujusthateitwhen
29,only
30,some
31,people
32,right
33,its
34,more
35,she
36,got
37,night
38,see
39,still
40,come
41,had
42,better
43,off
44,over
45,too
46,de
47,getting
48,best
49,everyone
50,here
51,gonna
52,well
53,her
54,way
55,much
56,feel
57,trueblood
58,work
59,home
60,o
61,where
62,his
63,than
64,lt
65,been
66,thing
67,im
68,hope
69,god
70,oh
71,being
72,make
73,then
74,someone
75,bad
76,watching
77,tonight
78,man
79,1
80,great
81,even
82,last
83,our
84,week
85,4
86,never
87,say
88,them
89,n
90,something
91,music
92,re
93,caught
94,morning
95,sleep
96,world
97,making
98,again
99,first
100,always
101,their
102,wish
103,ll
104,boondocks
105,chills
106,house
107,after
108,cars
109,should
110,ve
111,hate
112,these
113,feeling
114,could
115,case
116,let
117,ever
118,any
119,him
120,would
121,else
122,mind
123,makes
124,take
125,tomorrow
126,crazy
127,sick
128,saturday
129,next
130,because
131,movie
132,big
133,very
134,said
135,wow
136,days
137,fun
138,dont
139,old
140,happy
141,into
142,every
143,live
144,anyone
145,show
146,coming
147,us
148,wanna
149,het
150,soon
151,long
152,bed
153,watch
154,fever
155,bp
156,convention
157,5
158,american
159,ur
160,omg
161,little
162,flu
163,friend
164,things
165,nothing
166,having
167,ldsconf
168,sunday
169,wait
170,phone
171,en
172,apple
173,annoying
174,does
175,everything
176,most
177,hot
178,look
179,girl
180,cold
181,real
182,car
183,name
184,song
185,done
186,find
187,hard
188,looking
189,did
190,which
191,hurricane
192,start
193,haha
194,another
195,other
196,ok
197,b
198,tell
199,cool
200,were
201,away
202,year
203,before
204,heart
205,please
206,doing
207,tweet
208,nice
209,killing
210,trying
211,school
212,pretty
213,friends
214,worse
215,already
216,playing
217,such
218,amazing
219,w
220,health
221,gt
222,ik
223,keep
224,p
225,head
226,wrong
227,around
228,stop
229,funny
230,y
231,baby
232,two
233,made
234,end
235,yet
236,dat
237,move
238,wtf
239,10
240,person
241,mom
242,while
243,een
244,cant
245,starbucks
246,working
247,family
248,believe
249,ready
250,finally
251,game
252,crisis
253,lose
254,true
255,debate
256,place
257,guy
258,give
259,da
260,tv
261,food
262,august
263,try
264,says
265,many
266,call
267,stuff
268,ausvotes
269,ppl
270,put
271,arcade
272,looks
273,ya
274,hair
275,terrible
276,room
277,through
278,smoke
279,didn
280,money
281,headache
282,e
283,die
284,may
285,talk
286,doesn
287,those
288,news
289,disaster
290,same
291,isn
292,wat
293,somewhere
294,without
295,help
296,op
297,smh
298,wonder
299,hours
300,medicine
301,sure
302,lmao
303,times
304,count
305,actually
306,must
307,cause
308,que
309,weekend
310,8
311,c
312,stand
313,android
314,set
315,review
316,heard
317,guess
318,free
319,awesome
320,play
321,own
322,tired
323,r
324,monday
325,dead
326,wishing
327,yes
328,change
329,left
330,beautiful
331,causing
332,use
333,la
334,rest
335,summer
336,face
337,thought
338,masterchef
339,seen
340,thanks
341,also
342,needs
343,almost
344,lot
345,6
346,hey
347,oil
348,part
349,spill
350,miss
351,far
352,whole
353,though
354,enough
355,anything
356,dad
357,2010
358,black
359,early
360,breath
361,video
362,won
363,_
364,7
365,word
366,x
367,boy
368,stomach
